medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
B72AE7B4BE53C17271DACC1603D04B21,634DF8721F291E62F8949FBA669D6960,VTS,1,,2013-01-28 16:51:00,2013-01-28 17:07:00,1,960,3.26,-73.998001,40.733757000000004,-73.967552,40.768974,CRD,13.0,1.0,0.5,2.8,0.0,17.3
7661E1263B7BC255612CBA9B6C882A30,C5C303975066003D6940E887F04728F4,CMT,1,N,2013-01-14 17:57:41,2013-01-14 18:06:56,1,554,1.2,-73.979378,40.752747,-73.98683199999999,40.740494,CRD,8.0,1.0,0.5,1.9,0.0,11.4
9836A6780886D5D11F7BA21BAEFD0E38,59E4699CBA26E3BCA24726C1D807F1B7,VTS,1,,2013-01-21 21:47:00,2013-01-21 21:58:00,1,660,2.9,-74.00457,40.742241,-73.979362,40.766991,CSH,11.0,0.5,0.5,0.0,0.0,12.0
44E7AEF6BD3E3ADB474A96FEA61842E4,C347316CA17CD0BBBAB62D882DA70A76,CMT,1,N,2013-01-15 12:20:29,2013-01-15 12:32:10,1,701,2.9,-73.963593,40.765118,-73.97525,40.733124,CRD,12.5,0.0,0.5,2.0,0.0,15.0
A71004C44371DAABF09D9AFBF25D5F72,5B902B801AA9235B149924C852463B5E,VTS,1,,2013-01-04 12:34:00,2013-01-04 12:43:00,1,540,1.31,-73.99404100000001,40.73457,-73.996002,40.720245,CSH,8.0,0.0,0.5,0.0,0.0,8.5
54736935A52C46DD4D6FFFB8B5E8AD0E,D413B9E06C2556967577AEB00A82B7BF,CMT,1,N,2013-01-16 04:02:25,2013-01-16 04:05:09,1,163,0.4,0.0,0.0,0.0,0.0,CSH,4.0,0.5,0.5,0.0,0.0,5.0
C48A03519EC9BC3784F4323704B22572,3812FBD7C4D621A545368F258AC1C302,VTS,1,,2013-01-18 09:14:00,2013-01-18 09:23:00,3,540,1.14,-73.955673,40.776649,-73.945679,40.776253000000004,CSH,7.5,0.0,0.5,0.0,0.0,8.0
26B6CDD419985C6F551F0FAE87EF3AA9,36D04EDD8B7EF39AAFAD8CDE42F56153,CMT,1,N,2013-01-28 08:51:31,2013-01-28 08:57:48,1,376,1.5,-74.00235699999999,40.739899,-74.000587,40.756046000000005,CSH,7.0,0.0,0.5,0.0,0.0,7.5
3736CFE751814D3E27F937888FFEA553,627174123F8DA048DDA6EA8AFD4B1A40,CMT,1,N,2013-01-28 06:03:41,2013-01-28 06:09:31,1,350,1.3,-73.994354,40.750916,-74.007622,40.741165,CSH,6.5,0.0,0.5,0.0,0.0,7.0
DB87F4AB25C4AE1F01553868A4A9A7F2,D3351C6964BD3E25F503D73B519DFF58,VTS,1,,2013-01-24 10:15:00,2013-01-24 10:20:00,3,300,0.54,-73.947464,40.776142,-73.953682,40.778938000000004,CSH,5.0,0.0,0.5,0.0,0.0,5.5
